2012-13 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Pathfinder Regional Vocational Technical,08600000,      79.6,  97.5,     207,  95.2,   8.3 to 1
Peabody,02290000,     445.8,  99.6,"   2,092",  98.7,  13.7 to 1
Pelham,02300000,      10.4, 100.0,      63, 100.0,  12.6 to 1
Pembroke,02310000,     205.0,  99.1,"   1,089",  97.2,  16.2 to 1
Pentucket,07450000,     207.1,  99.5,     963,  98.0,  14.3 to 1
Petersham,02340000,       9.8,  98.0,      45, 100.0,  12.0 to 1
Phoenix Charter Academy (District),04930000,      16.6,  56.3,     287,  56.1,  11.1 to 1
Pioneer Charter School of Science (District),04940000,      30.0,  62.2,     132, 100.0,  12.0 to 1
Pioneer Valley,07500000,      89.1,  97.5,     483, 100.0,  11.8 to 1
Pioneer Valley Chinese Immersion Charter(District),04970000,      28.3,  65.2,      64, 100.0,   9.9 to 1
Pioneer Valley Performing Arts Charter Public (District),04790000,      41.9,  55.9,     350,  91.1,   9.7 to 1
Pittsfield,02360000,     480.3,  97.1,"   2,413",  95.9,  12.5 to 1
Plainville,02380000,      50.6, 100.0,     275,  94.2,  15.8 to 1
Plymouth,02390000,     619.3,  98.8,"   2,859",  97.4,  12.9 to 1
Plympton,02400000,      16.2, 100.0,      84, 100.0,  14.9 to 1
Prospect Hill Academy Charter (District),04870000,     106.8,  72.1,     445,  86.3,  10.7 to 1
Provincetown,02420000,      19.4, 100.0,      81, 100.0,   5.5 to 1
Quabbin,07530000,     182.2,  98.9,     892, 100.0,  14.2 to 1
Quaboag Regional,07780000,      95.8,  97.9,     410, 100.0,  14.1 to 1
Quincy,02430000,     655.0,  99.4,"   3,454",  99.6,  14.1 to 1
Ralph C Mahar,07550000,      65.5,  97.6,     562, 100.0,  12.0 to 1
Randolph,02440000,     235.9,  99.2,     882,  98.0,  12.5 to 1
Reading,02460000,     309.4, 100.0,"   1,353",  97.7,  14.5 to 1
Revere,02480000,     488.6,  99.6,"   3,418", 100.0,  13.6 to 1
Richmond,02490000,      17.6,  83.0,      90,  86.7,   8.9 to 1
Rising Tide Charter Public (District),04830000,      34.5,  76.0,     168, 100.0,  13.0 to 1
River Valley Charter (District),04820000,      17.4,  63.1,      74, 100.0,  16.5 to 1
